ID,target_name,amp_score,amp_status,task,Ct,Ct_mean,Ct_sd,quantity,quantity_mean,quantity_sd,intercept,r_squared,slope,efficiency,auto_threshold,threshold,auto_baseline,baseline_start,baseline_end,omit,run
P64,BQCV,0,No Amp,UNKNOWN,Undetermined,NA,NA,0,NA,-,34.8074,0.9981,-3.4422,95.21442,TRUE,0.078,TRUE,3,39,TRUE,
P65,BQCV,0,No Amp,UNKNOWN,Undetermined,NA,NA,0,NA,-,34.8074,0.9981,-3.4422,95.21442,TRUE,0.078,TRUE,3,39,TRUE,
P66,BQCV,0,No Amp,UNKNOWN,Undetermined,NA,NA,0,NA,-,34.8074,0.9981,-3.4422,95.21442,TRUE,0.078,TRUE,3,39,TRUE,
P67,BQCV,1.277,Amp,UNKNOWN,32.146,NA,NA,0,NA,-,34.8074,0.9981,-3.4422,95.21442,TRUE,0.078,TRUE,3,28,TRUE,
P68,BQCV,1.269,Amp,UNKNOWN,29.558,29.766,0.294,33.492,29.427,5.749,34.8074,0.9981,-3.4422,95.21442,TRUE,0.078,TRUE,3,25,FALSE,
P69,BQCV,0,No Amp,UNKNOWN,Undetermined,NA,NA,0,NA,-,34.8074,0.9981,-3.4422,95.21442,TRUE,0.078,TRUE,3,39,TRUE,
P70,BQCV,0,No Amp,UNKNOWN,Undetermined,NA,NA,0,NA,-,34.8074,0.9981,-3.4422,95.21442,TRUE,0.078,TRUE,3,39,TRUE,
P71,BQCV,0,No Amp,UNKNOWN,Undetermined,NA,NA,0,NA,-,34.8074,0.9981,-3.4422,95.21442,TRUE,0.078,TRUE,3,39,TRUE,
P72,BQCV,0,No Amp,UNKNOWN,Undetermined,NA,NA,0,NA,-,34.8074,0.9981,-3.4422,95.21442,TRUE,0.078,TRUE,3,39,TRUE,
Gblock,BQCV,1.348,Amp,UNKNOWN,7.387,7.387,NA,9.24E+07,9.24E+07,-,34.8074,0.9981,-3.4422,95.21442,TRUE,0.078,TRUE,3,4,FALSE,
P73,DWV,0,No Amp,UNKNOWN,Undetermined,NA,NA,0,NA,-,35.2228,0.993,-3.5567,91.05548,TRUE,0.04,TRUE,3,39,TRUE,
P74,DWV,0,No Amp,UNKNOWN,Undetermined,NA,NA,0,NA,-,35.2228,0.993,-3.5567,91.05548,TRUE,0.04,TRUE,3,39,TRUE,
P75,DWV,0,No Amp,UNKNOWN,Undetermined,NA,NA,0,NA,-,35.2228,0.993,-3.5567,91.05548,TRUE,0.04,TRUE,3,39,TRUE,
